Serial Number,Energy Production (kWh)
202234005006,51.2
202234005922,46.1
202234010771,39.2
202234042318,39.4
202234046451,38.4
202234047620,51.2
202234058794,50.7
202234060278,44.1
202234060899,51.3
202234061000,50.7
202234062114,50.1
202234062135,51.3
202234062206,51.0
202234062247,50.5
202234062274,50.3
202234062391,49.9
202234062476,51.1
202234062738,39.2
202234069056,50.7
202234069613,50.7
202234069633,50.7
202234069649,45.6
202234069657,50.2
202234070331,50.3
202234071040,46.1
202234071262,51.0
Total,"1,251.0"
